Stadium,Latitude,Longitude
Acrisure Stadium,40.4467648,-80.0157603
Alamo Dome,29.4169834,-98.4788143
Allegiant Stadium,36.0908665,-115.1833222
Allianz Arena,48.2187966,11.6247074
Alltel Stadium,30.3239099,-81.6373497
Anaheim Stadium,33.7998135,-117.8824162
Arrowhead Stadium,39.0489647,-94.4840141
AT&T Stadium,32.7479966,-97.0934165
Atlanta-Fulton County Stadium,33.7501275,-84.3885209
Bank of America Stadium,35.2257795,-80.852965
Busch Memorial Stadium,38.6226188,-90.1928209
Caesars Superdome,29.951061,-90.0812442
Candlestick Park,37.71371801892154,-122.38567884461534
CenturyLink Field,47.5951518,-122.3316393
Cinergy Field,40.745499,-74.169601
Cleveland Municipal Stadium,41.49932,-81.6943605
Cowboys Stadium,32.7479966,-97.0934165
Dignity Health Sports Park,33.8643777,-118.2611426
Dolphin Stadium,25.958326,-80.2395979
Edward Jones Dome,38.6328232,-90.1885068
Empower Field at Mile High,39.7438895,-105.0201094
Estadio Azteca,19.3028607,-99.1505277
EverBank Field,30.3239099,-81.6373497
FedEx Field,38.9081324,-76.8639884
FirstEnergy Stadium,41.5060535,-81.6995481
Ford Field,42.3400064,-83.045603
Foxboro Stadium,42.0653812,-71.2478251
Frankfurt Stadium,50.0685807,8.645472
GEHA Field at Arrowhead Stadium,39.0489647,-94.4840141
Georgia Dome,33.781701,-84.3873248
Giants Stadium,40.8135064,-74.074457
Gillette Stadium,42.0909458,-71.2643465
Hard Rock Stadium,25.958326,-80.2395979
Heinz Field,40.4467648,-80.0157603
Highmark Stadium,42.7737546,-78.7869723
Houlihan's Stadium,27.976360602645116,-82.50343750252416
Houston Astrodome,29.6853188,-95.3956795
Hubert H. Humphrey Metrodome,44.973476,-93.257622
Husky Stadium,47.6502935,-122.3020732
Jack Murphy Stadium,32.549110,-94.966118
Joe Robbie Stadium,25.958326,-80.2395979
Lambeau Field,44.5013406,-88.0622083
Levi's Stadium,37.4033165,-121.9693774
Liberty Bowl Memorial Stadium,35.1210966,-89.9774275
Lincoln Financial Field,39.9013695,-75.1675215
Los Angeles Memorial Coliseum,34.0136647,-118.2878355
Louisiana Superdome,29.951061,-90.0812442
LP Stadium,36.16646900000001,-86.7712995
Lucas Oil Stadium,39.7601007,-86.1638877
Lumen Field,47.5951518,-122.3316393
M&T Bank Stadium,39.2778666,-76.6229437
Mall of America Field,44.973476,-93.257797
Memorial Stadium (Baltimore),39.3300924,-76.6015349
Memorial Stadium (Champaign),40.0993036,-88.2359586
Memorial Stadium (Clemson),34.6785758,-82.8439861
Mercedes-Benz Stadium,33.7553232,-84.4005905
Mercedes-Benz Superdome,29.951061,-90.0812442
MetLife Stadium,40.8135064,-74.074457
Metropolitan Stadium,44.854443,-93.241943
Mile High Stadium,39.7438895,-105.0201094
New Era Field,42.7737546,-78.7869723
Nissan Stadium,36.16646900000001,-86.7712995
NRG Stadium,29.6847219,-95.4107074
Oakland Coliseum,37.7514142,-122.2009106
Orange Bowl,25.776680,-80.220963
Paul Brown Stadium,39.0954576,-84.5160577
Paycor Stadium,39.0954576,-84.5160577
Pontiac Silverdome,42.645830,-83.255000
Pro Player Stadium,25.958326,-80.2395979
Qualcomm Stadium,32.7809826,-117.1195814
Ralph Wilson Stadium,42.7737546,-78.7869723
Raymond James Stadium,27.9758691,-82.5033344
RCA Dome,39.764214,-86.163521
Reliant Stadium,29.6847219,-95.4107074
RFK Memorial Stadium,38.8898525,-76.9718698
Rogers Centre,43.6415758,-79.3894282
Rose Bowl,34.1613284,-118.1676462
Seattle Kingdome,47.595230,-122.331627
SoFi Stadium,33.9534651,-118.3390396
Soldier Field,41.8623132,-87.6166884
Sports Authority Field at Mile High,39.7438895,-105.0201094
Stanford Stadium,37.4345298,-122.1611227
State Farm Stadium,33.5276247,-112.2625593
StubHub Center,33.864262,-118.261162
Sun Devil Stadium,33.426453,-111.9325733
Sun Life Stadium,25.958326,-80.2395979
Tampa Stadium,27.9516896,-82.4587527
TCF Bank Stadium,44.976525,-93.2245462
Texas Stadium,32.748001,-97.093414
Three Rivers Stadium,40.446935,-80.015896
TIAA Bank Field,30.3239099,-81.6373497
Tiger Stadium (LSU),30.412035,-91.1838163
Tottenham Hotspur Stadium,51.6042205,-0.0662231
Tottenham Stadium,51.6042205,-0.0662231
Twickenham Stadium,51.4559558,-0.3415051
U.S. Bank Stadium,44.9736461,-93.2574945
University of Phoenix Stadium,33.5276247,-112.2625593
Vanderbilt Stadium,36.1438717,-86.808941
Veterans Stadium,39.906754,-75.176117
Wembley Stadium,51.55602469999999,-0.2796177
